DYA;R;PIC
-1.433984128;3.3966666667;1.7132210807
-1.8617150878;3.5566666667;1.3662426065
0.150642256;3.6283333333;1.2906547114
-0.6742076753;2.7516666667;1.4087662411
-0.2634614793;2.3216666667;1.031359607
1.0442868567;2.1633333333;0.7527515122
1.9896523543;2.2008333333;0.7386686669
1.6968090633;2.365;1.0581218892
1.7779420247;2.3575;0.7546418969
1.5204852483;2.4216666667;1.0083771776
1.4590761024;2.6391666667;0.8516439379
0.6928931239;2.8475;0.8848717247
0.5137992797;2.3166666667;0.744829919
0.7443823896;2.1191666667;0.983892585
0.6380615967;1.9808333333;0.6413831473
1.253631131;1.975;0.6019966637
0.4455667841;2.0258333333;0.557442301
0.4362421904;1.9566666667;0.4961437512
0.1742117535;1.73;0.3777500303
0.666925698;1.5516666667;0.4090695526
0.2424880849;1.5666666667;0.5434743801
0.3890468143;1.555;0.6376379444
0.7841799508;1.6625;0.6903118632
0.5957096689;1.7108333333;0.7550047632
1.4562603236;1.7291666667;0.7940182397
0.2432122075;1.6658333333;0.7803778354
1.0763479106;1.7891666667;0.9683570548
0.3399670028;1.9958333333;1.1888239189
1.1004701019;2.1175;0.8600423656
0.7313197674;2.3608333333;1.037276049
0.542252643;2.4316666667;1.0599653036
0.5103469054;2.2708333333;0.7271615184
-0.0255420724;2.1533333333;0.7098074802
0.2870285113;2.0625;1.0733186392
0.152122646;2.0608333333;1.1143835284
-0.1641406009;2.04;0.8524597598
-1.1854818942;1.9358333333;0.7420688207
-0.6822948834;1.6066666667;0.9743403399
0.575051865;1.4658333333;0.7311235137
0.260138968;1.4108333333;0.7794322565
0.0713597377;1.2041666667;0.5911091975
0.9691503486;1.0058333333;0.3706931363
0.8538068749;0.9425;0.5998606555
0.7147127757;0.8141666667;0.4881326691
0.7315719695;0.7591666667;0.685097118
-0.0861261903;0.76;0.5594927165
0.3492617627;0.75;0.5938827343
0.2128597495;0.765;0.5919297
1.0678924944;0.7475;0.543660584
0.7286027201;0.8033333333;0.4777103687
1.1236375878;0.985;0.4815590933
0.3145705588;1.1216666667;0.5720883039
0.8599926381;1.2916666667;0.5400908221
0.2118792144;1.4525;0.5417041426
0.0892179027;1.505;0.4788972019
0.5894269272;1.4491666667;0.4915189434
0.403193732;1.43;0.480216202
0.5337950686;1.3408333333;0.4793972339
1.4023878368;1.3108333333;0.4139206794
0.6088360143;1.3266666667;0.3272700842
0.7307582901;1.32;0.5319083749
0.1788424566;1.3191666667;0.5957588095
1.4343447474;1.3808333333;0.1982821031
0.9792280853;1.3833333333;0.4357053911
0.5709994412;1.3766666667;0.3319946424
0.7737674653;1.38;0.1419467006
0.6720604748;1.375;0.2361309978
0.9695588913;1.3833333333;0.4222123892
1.2975379281;1.215;0.2814340772
0.5581071638;1.1833333333;0.3245122768
0.5630393641;1.1866666667;0.3770365475
1.0225677885;1.2733333333;0.3531509344
1.3313798703;1.3266666667;0.5532420708
-1.0718255752;1.4191666667;0.6626505113
1.5369232559;1.5683333333;0.6210641648
-0.2164306369;1.63;0.5829637584
0.2943497465;1.6183333333;0.5373232963
-0.5811854276;1.3983333333;0.6591533729
0.3265661854;1.0816666667;0.599645252
-0.7203972398;0.8741666667;0.3924103299
-0.0453915388;0.5333333333;0.3133581406
0.5776288522;0.4333333333;0.3137121363
0.3620668707;0.4375;0.3485993046
0.1004498657;0.435;0.4783398437
-0.1859659438;0.3608333333;0.5786267536
-0.2371220087;0.3125;0.4877099146
0.6284288972;0.3116666667;0.3511959273
1.3154982728;0.2541666667;0.5705055792
0.8101787461;0.2491666667;0.6072056277
0.4850782528;0.2508333333;0.7110251219
0.5385558075;0.2525;0.8037389542
0.6276953685;0.3583333333;0.6323212003
0.6856466031;0.4875;0.7723112799
0.7827166481;0.62;0.8
0.254855592;0.74;0.72
0.4352018877;0.87;0.91
0.2315957889;1;0.82
1.0948678336;1.11;0.71
-0.0464129747;1.23;0.87
-0.1771659498;1.31;0.7
0.5563396489;1.31;0.36
-0.1012281292;1.31;0.95
0.3164331853;1.31;0.69
0.2520798987;1.27;0.55
0.3277427105;1.12;0.4
-0.3586012269;0.79;0.37
0.3227793573;0.52;0.48
-0.8398992013;0.49;0.75
-2.5009457287;0.13;0.24
-1.163059678;0.05;-0.08
-0.4205573625;0.05;-0.17
0.0679360752;0.04;0.12
0.8207002625;0.03;0.32
0.3841922555;0.03;0.29
0.7392848445;0.05;0.49
0.5025875903;0.05;0.3
0.286105519;0.05;0.58
-0.2839409766;0.04;0.51
0.4699102623;0.02;0.66
-0.2650378404;0.02;0.6
0.9033308823;0.02;0.12
-0.0010241688;0.03;0.59
0.218480061;0.04;0.41
-0.1095018374;0.04;0.55
-0.1212524085;0.04;0.5
0.7181080808;0.04;0.4
0.0401853006;0.03;0.22
0.5972404312;0.02;0.49
0.6338455228;0.02;0.53
