Date,c_rgd_obs,ifi_rgd_obs,gdp_rgd_obs,gdpdef_obs,wage_rgd_obs,ffr_obs,cpiinf_obs,emp_obs,unr_obs,hours_sw07_obs,core_obs
1982Q2,-0.342874422493537,-3.58351448962082,0.151866289938766,1.29153848101833,-0.517052097776201,14.5133333333333,1.80,0.04,9.43,-5.50431328262499,1.63616853044166
1982Q3,0.535313681934497,-3.48884558517761,-0.675530814615399,1.40855999769345,0.134851319886778,11.0066666666667,1.24,-0.20,9.90,-5.99498212395389,1.51748515202553
1982Q4,1.49846004323388,-1.00996315651491,-0.262319072296805,1.02954801336566,0.427280962355766,9.28666666666667,0.96,-0.43,10.67,-6.81572080961291,1.45768777549862
1983Q1,0.785088705685837,0.917058219641774,1.04427706306694,0.751366251716812,0.262777508577564,8.65333333333333,0.90,0.02,10.37,-6.70524245858707,1.39014369299604
1983Q2,1.92089160378993,2.41849028789562,1.98917699933384,0.741821152056055,0.217930283199109,8.80333333333333,0.62,0.81,10.13,-5.93738099324293,1.25153725456936
1983Q3,1.74693150077798,4.13955304866869,1.69686100152728,1.05669646317565,-0.515725514629224,9.46,0.69,1.65,9.37,-3.85503579907169,1.28126109938784
1983Q4,1.19949226225015,4.59881989886407,1.77807260790246,0.755746955145709,0.387089307649788,9.43,0.95,0.96,8.53,-3.12868057538458,1.06293043012083
1984Q1,0.485313982653508,1.87680728429353,1.5208654275491,1.00716258120932,0.134224647828084,9.68666666666667,1.22,1.04,7.87,-2.17469938652863,1.10498644876001
1984Q2,1.253181981735,3.21607626325232,1.45804895807373,0.850939063257261,0.195355031214021,10.5566666666667,1.08,1.32,7.43,-0.958402084215948,1.11109989297902
1984Q3,0.355527923378304,1.20817899050411,0.693758225481474,0.885195868972444,0.56481897830659,11.39,1.07,0.31,7.43,-1.28413203438879,0.935090229747992
1984Q4,0.854960550375552,1.05310795435281,0.513468523796405,0.744809033844174,0.0542263573220438,9.26666666666667,1.01,0.55,7.30,-1.14022539463889,1.02551424050633
1985Q1,1.65140542654638,0.0387244245234228,0.745204710667053,0.983910253991382,0.272650782045062,8.47666666666667,0.95,0.63,7.23,-0.680653426384936,1.04796846336989
1985Q2,0.841979767021371,0.595369589376105,0.637619504043869,0.642021244472524,0.303708928234741,7.92333333333333,0.92,0.16,7.30,-0.637191659679274,1.01065269507385
1985Q3,1.79678182151213,-0.801406447622867,1.25329502741658,0.60137323257079,0.86617245927328,7.9,0.81,0.37,7.20,-0.728070951637335,1.03021188551286
1985Q4,0.061509198898932,1.65899778614732,0.445372438689333,0.557795062605404,1.3144377857226,8.10333333333333,0.95,0.78,7.03,-0.407360711571073,0.989854466694534
1986Q1,0.58774911519231,-0.182533314147747,0.435851348503547,0.496836866730988,0.917672826954075,7.82666666666667,0.54,0.66,7.03,-0.472218639684741,0.905600299681586
1986Q2,0.330855238116328,0.124795227150173,0.175234098775718,0.377321468417158,0.772279063633206,6.92,0.44,0.43,7.17,-0.906872929645715,0.868716900492428
1986Q3,1.58270665500402,-0.302927490648585,0.66623815779019,0.410006149003728,0.832656246683477,6.20666666666667,0.44,0.70,6.97,-0.776212849841954,0.798542751476572
1986Q4,0.37820266796183,0.567160251546397,0.243043932858654,0.542288060819196,0.787351959225667,6.26666666666667,0.30,0.47,6.83,-0.469333239295281,0.798640301180598
1987Q1,0.0508545469216415,-2.34980354350267,0.392965616213132,0.633408992681073,-0.193268531548291,6.22,0.71,0.64,6.60,0.36415915977426,0.704034415443566
1987Q2,1.33326949655356,0.772329504374227,0.784172719021171,0.691090196981481,0.0357362412798281,6.65,0.94,0.85,6.27,0.789647381123359,0.788363113944507
